Unnamed: 0.1,Unnamed: 0,date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,result,pom,best_batters,best_bowlers,commentary_line,world_cup_year,host_country
41,20,2011-03-06, Chennai,League-Match,ENG,SA,171.0,0.0,165.0,0.0,England won by 6 runs,Ravi Bopara,"['RS Bopara - 60 runs ', 'IJL Trott - 52 runs ']","['SCJ Broad - 4', 'Imran Tahir - 4']","South Africa, for the first half of the game, looked like certain World Cup winners but under their powerhouse top order is a soft lower order. And that word still haunts them. For this brief moment, England are sitting on top of Group B, but that's entirely because they've played so many games.",2011,India
43,23,2011-03-08, Pallekele,League-Match,NZ,PAK,302.0,7.0,192.0,0.0,New Zealand won by 110 runs,Ross Taylor,"['LRPL Taylor - 131 runs ', 'Abdul Razzaq - 62 runs ']","['TG Southee - 3', 'Umar Gul - 3']",Post-match presentation:,2011,Sri Lanka
44,17,2011-03-04, Ahmedabad,League-Match,ZIM,NZ,162.0,0.0,166.0,0.0,New Zealand won by 10 wickets (with 99 balls remaining),Martin Guptill,"['MJ Guptill - 86 runs ', 'BB McCullum - 76 runs ']","['TG Southee - 3', 'DL Vettori - 2']","Vettori: ""This is the performance we were looking for. Need to replicate it against the bigger nations. We thought long and hard about batting long. Brendon and Martin stood up and gave no one else an opportunity to bat, that was great.""",2011,India
46,5,2011-02-23, Hambantota,League-Match,PAK,KENYA,317.0,7.0,112.0,0.0,Pakistan won by 205 runs,Umar Akmal,"['Umar Akmal - 71 runs ', 'Misbah-ul-Haq - 65 runs ']","['Shahid Afridi - 5', 'TM Odoyo - 3']","Kamande: ""We gave lot of extras. May be because the guys were trying too hard ... We are not performing at both areas. Today, I thought the bowling was 70%. I didnt bowl and let down the other three bowlers. We are playing Pakistan after a long time. It's a difficult situation for us. The batting .. I don't know .. we didn't go for the score. We will try to encourage the boys it doesn;t matter, go for the score.""",2011,Sri Lanka
50,9,2011-02-26, Colombo (RPS),League-Match,PAK,SL,277.0,7.0,266.0,9.0,Pakistan won by 11 runs,Shahid Afridi,"['Misbah-ul-Haq - 83 runs ', 'Younis Khan - 72 runs ']","['Shahid Afridi - 4', 'Shoaib Akhtar - 2']","Sangakkara: ""Quite a few positives - we bowled well on a flat deck, but lost three wickets at the wrong time. We got a good start, and needed players to bat long. Unfortunately, Pakistan played very well. Younis and Misbah kept picking singles well, but we did well to drag it back to 270. We got to keep going on - it is a long tournament and lot of games to win.""",2011,Sri Lanka
4,30,2019-06-24, Southampton,League-Match,BAN,AFG,262.0,7.0,200.0,0.0,Bangladesh won by 62 runs,Shakib Al Hasan,"['Mushfiqur Rahim - 83 runs ', 'Shakib Al Hasan - 51 runs ']","['Shakib Al Hasan - 5', 'Mujeeb Ur Rahman - 3']","I think we missed something this tournament, with things like injuries. We're missing something.",2019,England
5,27,2019-06-22, Southampton,League-Match,IND,AFG,224.0,8.0,213.0,0.0,India won by 11 runs,Jasprit Bumrah,"['V Kohli - 67 runs ', 'Mohammad Nabi - 52 runs ']","['Mohammed Shami - 4', 'YS Chahal - 2']","Gulbadin Naib: ""We bowled really well, and everybody in the batting lineup was strong. We did well in the batting too, but credit goes to Bumrah for the way he bowled in the last three overs. He was superb. (On his bowling) The wicket was really good for batting during the first half. The spinners stuck to the plan, and they did really well. We had other options than Rashid and Mujeeb, but in the backend, Aftab and I also bowled well, but India is a good side, and a favourite side. The total was not that much (to chase) but in the middle, we needed some 80s and 100s, 20s and 30s aren't enough against a team like this. When chasing 220s, you need some batsmen to take responsibility and go longer. We have lost four games very badly, but last two games we have played really well. This is tough cricket against high-ranking teams, and you have to fight your best.""",2019,England
7,40,2019-07-03, Chester-le-Street,League-Match,ENG,NZ,305.0,8.0,186.0,0.0,England won by 119 runs,Jonny Bairstow,"['JM Bairstow - 106 runs ', 'JJ Roy - 60 runs ']","['MA Wood - 3', 'JDS Neesham - 2']","Meanwhile, kudos to Sachin Tendulkar ... who told us what would happen way back in May... he can't be a God without being omnipotent!",2019,England
10,47,2019-07-14, Lord's,Final,NZ,ENG,241.0,8.0,241.0,0.0,Match tied (England won on boundary count),Ben Stokes,"['BA Stokes - 84 runs ', 'JC Buttler - 59 runs ']","['CR Woakes - 3', 'LE Plunkett - 3']","And what of New Zealand? They've been through more close games than any other team in this tournament, and until today they'd been finishing on the right end of those results. Against Bangladesh, South Africa, West Indies, India - have I missed any? Today, in the closest finish imaginable - tied match, tied Super Over, losing on boundary count - they've come out on the wrong side. It's going to take a while for them to get this out of their systems.",2019,England
12,18,2019-06-14, Southampton,League-Match,WI,ENG,212.0,0.0,213.0,2.0,England won by 8 wickets (with 101 balls remaining),Joe Root,"['JE Root - 100 runs ', 'N Pooran - 63 runs ']","['MA Wood - 3', 'JC Archer - 3']","Jason Holder tells Nasser: ""I don't think we put enough runs on the board. We needed one or two more partnerships. The toss was very crucial, but we did a pretty decent job in the Powerplay. Our batsmen need to take a bit more ownership in the middle overs. One or two curious shots, and batters got out at crucial stages. it's happened twice in two games, and we really need to look at that. (On short bowling) We probably didn't read the pace of the pitch. Having said that, defending 213 wasn't easy. (Fitness) We've been carrying some niggles in recent weeks, and we need to take care of that. There's no point looking back. We can only control the future.""",2019,England
13,45,2019-07-09, Manchester,League-Match,NZ,IND,239.0,8.0,221.0,0.0,New Zealand won by 18 runs,Matt Henry,"['RA Jadeja - 77 runs ', 'LRPL Taylor - 74 runs ']","['MJ Henry - 3', 'B Kumar - 3']","Ragha: ""It feels impossible to control my tears. Not sure how a simple game can impact you so much. Feels worse than a break-up. Love all the way to Team India. You guys were fabulous. """,2019,England
14,7,2019-06-05, Southampton,League-Match,SA,IND,227.0,9.0,230.0,4.0,India won by 6 wickets (with 15 balls remaining),Rohit Sharma,"['RG Sharma - 122 runs ', 'CH Morris - 42 runs ']","['YS Chahal - 4', 'JJ Bumrah - 2']","[On decision to bat]: Had we had Steyn and Ngidi, it may have made sense to bat first. Rabada is a champion, haven't seen so many balls lands short of go here and there. But that's how the game goes, when you aren't playing your best cricket, these 50-50 things don't go your way. Morris too was superb, bowled well and scored some crucial runs with the bat. Ours is a change room that is hurting, trying to make sure we keep fighting but we're making mistakes all the time. Today someone had to bat through, we didn't do that. To have so many 30s and 40s is not unacceptable""",2019,England
15,19,2019-06-15, The Oval,League-Match,AUS,SL,334.0,7.0,247.0,0.0,Australia won by 87 runs,Aaron Finch,"['AJ Finch - 153 runs ', 'FDM Karunaratne - 97 runs ']","['MA Starc - 4', 'KW Richardson - 3']","Dimuth Karunaratne: ""Finch and Smith batted well, but we came back strongly. Lost key moments in the chase. Started well, but the middle order couldn't capitalise. They had to handle pressure and keep the momentum going. Starc, Cummins are world class, we knew what they could do, had to keep a plan but we didn't. We lost couple of games to the rain, now need to win a couple of games. We came here to play well, we want to play it one game at a time.""",2019,England
18,46,2019-07-11, Birmingham,League-Match,AUS,ENG,223.0,0.0,226.0,2.0,England won by 8 wickets (with 107 balls remaining),Chris Woakes,"['JJ Roy - 85 runs ', 'SPD Smith - 85 runs ']","['CR Woakes - 3', 'AU Rashid - 3']","5.15pm: We are going to see a new name on cup... Australia's reign is over, defeated in a World Cup semi-final for the first time. New Zealand await, but England will celebrate for now - in fact there are fireworks going off at Edgbaston. I wonder if they would have been used for an Australia win? It's actually started chucking it down, but nothing can rain on England's parade; they've won a World Cup knockout game for the first time since 1992, the tournament which also marked their last appearance in the final.",2019,England
19,0,2019-05-30, The Oval,League-Match,ENG,SA,311.0,8.0,207.0,0.0,England won by 104 runs,Ben Stokes,"['BA Stokes - 89 runs ', 'Q de Kock - 68 runs ']","['JC Archer - 3', 'L Ngidi - 3']","5.56pm Jofra Archer is having a chat with Sky, and admits that he was running in with a bit of extra adrenalin today. There's a different atmosphere around a World Cup match, as I think everyone at The Oval today can attest ...",2019,England
20,16,2019-06-12, Taunton,League-Match,AUS,PAK,307.0,0.0,266.0,0.0,Australia won by 41 runs,David Warner,"['DA Warner - 107 runs ', 'AJ Finch - 82 runs ']","['Mohammad Amir - 5', 'PJ Cummins - 3']","6.10pm: Presentations time, Sarfaraz Ahmed first up: ""Definitely, the batting was short and that's why we lost the match, Hasan batted well, Wahab batted well, we fought but could not win. We conceded too many runs first 20 overs, except for Amir the other bowlers did not bowl well, 270-80 was [par]. If we want to win, the fop four have to make runs. Imam made fifty, Babar made 30, but the top four must score runs. [Next game v India?] We will try our level best.""",2019,England
23,37,2019-06-30, Birmingham,League-Match,ENG,IND,337.0,7.0,306.0,5.0,England won by 31 runs,Jonny Bairstow,"['JM Bairstow - 111 runs ', 'RG Sharma - 102 runs ']","['Mohammed Shami - 5', 'LE Plunkett - 3']","Morgan: ""It didn't really bother me to be honest, I was quite happy sitting back. But our bowlers bowled really well.""",2019,England
24,43,2019-07-06, Leeds,League-Match,SL,IND,264.0,7.0,265.0,3.0,India won by 7 wickets (with 39 balls remaining),Rohit Sharma,"['AD Mathews - 113 runs ', 'KL Rahul - 111 runs ']","['JJ Bumrah - 3', 'RA Jadeja - 1']","Hardik Pandya's bowling: ""He's really motivated for this tournament, hes thinking like a batsman, which helps, it's amazing to have a cricketer like that who can bring so much to the table.""",2019,England
26,47,2019-07-14, Lord's,Final,NZ,ENG,241.0,8.0,241.0,0.0,Match tied (England won on boundary count),Ben Stokes,"['BA Stokes - 84 runs ', 'JC Buttler - 59 runs ']","['CR Woakes - 3', 'LE Plunkett - 3']","And what of New Zealand? They've been through more close games than any other team in this tournament, and until today they'd been finishing on the right end of those results. Against Bangladesh, South Africa, West Indies, India - have I missed any? Today, in the closest finish imaginable - tied match, tied Super Over, losing on boundary count - they've come out on the wrong side. It's going to take a while for them to get this out of their systems.",2019,England
27,32,2019-06-26, Birmingham,League-Match,NZ,PAK,237.0,6.0,241.0,4.0,Pakistan won by 6 wickets (with 5 balls remaining),Babar Azam,"['Babar Azam - 101 runs ', 'JDS Neesham - 97 runs ']","['Shaheen Shah Afridi - 3', 'Shadab Khan - 1']","Babar: This is my best innings. the wicket was difficult and turned a lot in the second half. The plan was to go through to the end and give my 100%. When we started, the plan was to see out Ferguson. But when Santner came on, the plan became not to give wickets to him and cover up later when the fast bowlers come on. The fans support us here in Birmingham, it's great.",2019,England
33,2,2019-06-01, Cardiff,League-Match,SL,NZ,136.0,0.0,137.0,0.0,New Zealand won by 10 wickets (with 203 balls remaining),Matt Henry,"['MJ Guptill - 73 runs ', 'C Munro - 58 runs ']","['LH Ferguson - 3', 'MJ Henry - 3']","Kane Williamson: ""Great start, superb from the bowlers. I don't think there's a problem occasionally playing on such pitches. There was something on offer but it was slowish movement, if you were old school, who knows, you could've scored a few more. We were fortunate to get some early wickets. There's some variety in our attack, there are different wickets - some high-scoring, some like this, so we need to have balanced attack. We didn't have too many conversations about net-run-rates, those two at the top (Guptill and Munro) are aggressive anyway. Nice that they could go out and play some few shots, Munro played with freedom which was outstanding. It was a good allround performance, focus turns quickly to the next match in a few days time on a different surface.""",2019,England
34,31,2019-06-25, Lord's,League-Match,AUS,ENG,285.0,7.0,221.0,0.0,Australia won by 64 runs,Aaron Finch,"['AJ Finch - 100 runs ', 'BA Stokes - 89 runs ']","['JP Behrendorff - 5', 'MA Starc - 4']","Lakshman Kumar: ""Australia showing how dominant they are when it comes to WC..! England as usual crashing out before the Semis..! South Africa's WC woes continue..! NZ and India's habit of making it to the Semis is on course..! Pakistan's usual dark horse performances are intact..! So after all the hype, normal service has been restored..!! """,2019,England
37,45,2019-07-09, Manchester,League-Match,NZ,IND,239.0,8.0,221.0,0.0,New Zealand won by 18 runs,Matt Henry,"['RA Jadeja - 77 runs ', 'LRPL Taylor - 74 runs ']","['MJ Henry - 3', 'B Kumar - 3']","Ragha: ""It feels impossible to control my tears. Not sure how a simple game can impact you so much. Feels worse than a break-up. Love all the way to Team India. You guys were fabulous. """,2019,England
38,13,2019-06-09, The Oval,League-Match,IND,AUS,352.0,5.0,316.0,0.0,India won by 36 runs,Shikhar Dhawan,"['S Dhawan - 117 runs ', 'V Kohli - 82 runs ']","['B Kumar - 3', 'JJ Bumrah - 3']",That's all we have for you from this game. Hope you enjoyed our coverage as much as we did bringing it to you. This is Deivarayan Muthu signing off on the behalf of Sreshth Shah and Chandon Duorah. Good night and cheers,2019,England
40,24,2019-06-19, Birmingham,League-Match,SA,NZ,241.0,6.0,245.0,6.0,New Zealand won by 4 wickets (with 3 balls remaining),Kane Williamson,"['KS Williamson - 106 runs ', 'HE van der Dussen - 67 runs ']","['CH Morris - 3', 'LH Ferguson - 3']",Trying to get through the tough parts. You know you'll face dot balls out there because it was basically standing up in the surface. So we just had to build partnerships. Neesham and de Grandhomme (60 off 47) scored a bit quicker at the other end so I could just sit in at my end.,2019,England
42,35,2019-06-29, Leeds,League-Match,AFG,PAK,227.0,9.0,230.0,7.0,Pakistan won by 3 wickets (with 2 balls remaining),Imad Wasim,"['Imad Wasim - 49 runs ', 'Babar Azam - 45 runs ']","['Shaheen Shah Afridi - 4', 'Mohammad Nabi - 2']","Gulbadin: ""We fought very well and gave 100% but in the end we missed an opportunity to win the match. But credit goes to Pakistan. Imad played really well and Shadab gave him the strike well. We're playing these kind of teams, so you'll face these situations. But if you win the match... as you saw we lost at the end of the innings. Bad luck for us today, Hamid Hasan was injured. The wicket was slow and turning, credit to Nabi, Mujeeb, Rashid and Sami also. But we missed Hamid. I said at the start of the tournament 30-40 is not enough, you need 60-70 or 100, then you can put a good total. But each batsman, including me, should go one step forward. We are learning a lot, so hopefully we'll do well in the future. Thank you to the tremendous crowd here.""",2019,England
43,38,2019-07-01, Chester-le-Street,League-Match,SL,WI,338.0,6.0,315.0,9.0,Sri Lanka won by 23 runs,Avishka Fernando,"['N Pooran - 118 runs ', 'WIA Fernando - 104 runs ']","['SL Malinga - 3', 'JO Holder - 2']","Jason Holder: ""We have just got to be better. We've let some key moments slip in this World Cup. I thought their score was on par. Fernando batted well - showed us things get easier if you stay in. Pooran was excellent too. I thought we finished our bowling well. But our fielding let us down. That run-out was crucial, Hetmyer's run-out was crucial too. We just want to play the perfect game next time.""",2019,England
44,29,2019-06-23, Lord's,League-Match,PAK,SA,308.0,7.0,259.0,9.0,Pakistan won by 49 runs,Haris Sohail,"['Haris Sohail - 89 runs ', 'Babar Azam - 69 runs ']","['Wahab Riaz - 3', 'Shadab Khan - 3']","Sarfaraz Ahmed: I think it's a complete team performance. Credit to the openers. They played really well. Then Babar took over. And Haris Sohail put in a great performance. We changed the combination in this game. Couple of games earlier, we went with other combination. That's the only thing. Sometimes change is good for the team. Today the way Haris batted, he is hungry to play in the game. He's the main factor, the turning point, the way he batted in the last 15 overs, it was like Jos Buttler. We have to work harder on fielding. Again we dropped so many catches today. All three matches now are very crucial and we have to sort it out. Complete bowling effort. Credit goes to Amir, took early wickets and in the middle overs as well. Shadab was really good in the middle overs as well. Thanks to the fans for their support.",2019,England
45,26,2019-06-21, Leeds,League-Match,SL,ENG,232.0,9.0,212.0,0.0,Sri Lanka won by 20 runs,Lasith Malinga,"['AD Mathews - 85 runs ', 'BA Stokes - 82 runs ']","['SL Malinga - 4', 'DM de Silva - 3']","And though there's no official word on Roy, you can bet that England will be extra desperate to get him back on the park sooner rather than later. His absence (or, more accurately, his ""presence"" in terms of calmness, technique and run-harvesting) at the top of the order has not been adequately replaced.",2019,England
48,39,2019-07-02, Birmingham,League-Match,IND,BAN,314.0,9.0,286.0,0.0,India won by 28 runs,Rohit Sharma,"['RG Sharma - 104 runs ', 'KL Rahul - 77 runs ']","['Mustafizur Rahman - 5', 'JJ Bumrah - 4']","Mashrafe Mortaza: ""This was a good effort, but we had to win this match. (On partnerships) If one of them could have been 80-90, it could have been a different match, but 47-50 is asking a bit much. We could have had a bit more luck, but Shakib Al Hasan has been in superb form, and Mushfiq has batted beautifully. Rohit's catch was obviously disappointing, but those things happen in the field. (On Pakistan game) We have played our best, and fans have been fantastic. Hopefully we will end on a good note.""",2019,England
49,1,2019-05-31, Nottingham,League-Match,PAK,WI,105.0,0.0,108.0,3.0,West Indies won by 7 wickets (with 218 balls remaining),Oshane Thomas,"['CH Gayle - 50 runs ', 'N Pooran - 34 runs ']","['O Thomas - 4', 'Mohammad Amir - 3']","Krish expects the moon and back, but hey, if I was a paying spectator, I too would be disappointed: ""Match is over within 35 over, that's a shame,"" he says. ""Provided people have paid fortune to get WC tickets, why don't the team play a T20 match just to entertain the crowd?""",2019,England
5,37,2023-11-06, Delhi,League-Match,SL,BAN,279.0,0.0,282.0,7.0,Bangladesh won by 3 wickets (with 53 balls remaining),Shakib Al Hasan,"['KIC Asalanka - 108 runs ', 'Najmul Hossain Shanto - 90 runs ']","['D Madushanka - 3', 'Tanzim Hasan Sakib - 3']","Kusal Mendis: ""Charith played a brilliant innings, but we were 30-40 runs short; 320 would have been good enough on this wicket. I'm happy that Pathum, Sadeera and Dilshan are coming through. I think in the future we'll have a very good team which shows promise. We had a couple of injuries, and that was the reason we had so many changes and newcomers. But we also made mistakes; had we played better cricket, we would have a better chance of entering the top four. It's very disappointing. When Mathews came to the crease, there were five seconds left. When he came out, he found out about the strap of the helmet. It was disappointing. We expected him to score runs for us; it's disappointing that the umpires couldn't step in and make good decisions.""",2023,India
6,46,2023-11-16, Eden Gardens,Semi-Final,SA,AUS,212.0,0.0,215.0,7.0,P2 v P3 - Australia won by 3 wickets (with 16 balls remaining),Travis Head,"['DA Miller - 101 runs ', 'TM Head - 62 runs ']","['MA Starc - 3', 'PJ Cummins - 3']","And Australia's Pat Cummins: ""Easier than sitting in the dugout. Nerve-wracking couple of hours but great effort and a great game. We thought it would spin quite a bit. Wasn't expecting Starcy and Josh to bowl so much early. [Lost toss] Bit gloomy, swinging around so wasn't too upset. [Fielding] Something we talk a lot about. Wasn't up to scratch at the start of the tournament. Davey, 37, diving around, incredible. And the big two up front were incredible. [Head] Has this knack of finding a wicket. Been different bowlers chip in through the whole tournament. [Inglis] Played that beautifully. He looked in control against two really good spinners on a tough wicket. The good thing is a few of us have been there for finals before. Got to embrace it, the stadium is going to be packed, pretty one-sided but got to embrace it. The 2015 World Cup was a career highlight, so to be out there in a final in India, can't wait.""",2023,India
7,29,2023-10-30, Pune,League-Match,SL,AFG,241.0,0.0,242.0,3.0,Afghanistan won by 7 wickets (with 28 balls remaining),Fazalhaq Farooqi,"['Azmatullah Omarzai - 73 runs ', 'Rahmat Shah - 62 runs ']","['Fazalhaq Farooqi - 4', 'Mujeeb Ur Rahman - 2']","Fazalhaq Farooqi, Player of the Match: (Rashid Khan translating) It feels pretty good, we have three wins in the tournament, happy to contribute and win the game. I looked for swing early on but didn't get it so then I kept it simple and hit the right areas and that was the plan for the spell and I got success in it. We struggled in the past in the last overs...gave away too many runs but we bowled with variations today and the hard work in net sessions helped, couple of days rest also worked in our favour. We tried to bowl as many variations as possible. Thank you",2023,India
8,42,2023-11-11, Pune,League-Match,BAN,AUS,306.0,8.0,307.0,2.0,Australia won by 8 wickets (with 32 balls remaining),Mitchell Marsh,"['MR Marsh - 177 runs ', 'Towhid Hridoy - 74 runs ']","['A Zampa - 2', 'SA Abbott - 2']","Srihari: ""Marsh's innings reminds me of a certain Watto innings against Bang too"" -- Till Tuesday, that was, in fact, the highest individual score by an Australia men's batter in ODI cricket",2023,India
9,36,2023-11-05, Eden Gardens,League-Match,IND,SA,326.0,5.0,83.0,0.0,India won by 243 runs,Virat Kohli,"['V Kohli - 101 runs ', 'SS Iyer - 77 runs ']","['RA Jadeja - 5', 'Kuldeep Yadav - 2']","Rohit Sharma, India captain: If we look at how we played in the last three games, we played better in terms of adapting to the situation. We were put under pressure against England. In the last game as well, we lost a wicket in the first over but got to a good score and seamers came to the party. Today was not an easy pitch, you needed someone like Kohli, who batted to the situation. Not to forget Shreyas. It's important to let guys have freedom in the middle and what the team expects from them. You know it can't always be done but when it does it looks good and that's what happened with Shami. Same with Iyer, wasn't getting the runs but he's showed in the last two games the kind of class he has. Going hard in the first ten isn't something we've discussed. That's how Gill and I have batted together. We let our instincts take over. If the wicket is good, we keep going and things fall in place. Jadeja has been really good. Big matchwinner. He keeps doing the job, goes under the radar but today is a classic case of what he does - score late runs and take wickets. Not to get ahead of ourselves is something we are constantly talking about. When we turn up, we want to play to our potential.",2023,India
